Order_ID,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,City,Zone,Warehouse_ID,Delivery_Agent_ID,Vendor,Product_Category,Order_Value_INR,Payment_Mode,Promised_Delivery_Days,Actual_Delivery_Days,Delay_Days,Delay_Category,Is_Delayed,Delay_Reason,SLA_Breached,Delivery_Attempts,Month,Quarter,Is_Festive_Season,Is_Monsoon_Season
ORD100049,06-11-2024,07-11-2024,06-11-2024,Bangalore,South,WH_BLR_01,AGT_0148,DTDC,Electronics,14476.1,Prepaid,1,1,0,On Time,No,None,No,1,November,Q4,Yes,No
ORD100050,11-07-2024,13-07-2024,19-07-2024,Surat,West,WH_SRT_01,AGT_0089,BlueDart,Fashion,1663.23,COD,2,8,6,Severe Delay,Yes,Vehicle Breakdown,Yes,1,July,Q3,No,Yes
ORD100051,07-08-2024,08-08-2024,08-08-2024,Jaipur,North,WH_JAI_01,AGT_0093,Ecom Express,Fashion,337.88,COD,1,1,0,On Time,No,None,No,1,August,Q3,No,Yes
ORD100052,23-08-2024,28-08-2024,02-09-2024,Surat,West,WH_SRT_01,AGT_0063,Shadowfax,Books,9296.3,COD,5,10,5,Moderate Delay,Yes,Weather Conditions,Yes,1,August,Q3,No,Yes
ORD100053,14-02-2024,19-02-2024,23-02-2024,Bhopal,Central,WH_BHO_01,AGT_0055,Dunzo,Groceries,5145.49,COD,5,9,4,Moderate Delay,Yes,Warehouse Processing Delay,Yes,1,February,Q1,No,No
ORD100054,12-05-2024,19-05-2024,19-05-2024,Kolkata,East,WH_KOL_01,AGT_0105,XpressBees,Fashion,8403.5,Prepaid,7,7,0,On Time,No,None,No,1,May,Q2,No,No
ORD100055,11-10-2024,16-10-2024,16-10-2024,Ahmedabad,West,WH_AMD_01,AGT_0057,DTDC,Fashion,6805.39,Prepaid,5,5,0,On Time,No,None,No,1,October,Q4,Yes,No
ORD100056,20-12-2024,27-12-2024,27-12-2024,Pune,West,WH_PUN_01,AGT_0079,DTDC,Toys,6468.73,COD,7,7,0,On Time,No,None,No,1,December,Q4,No,No
ORD100057,28-04-2024,30-04-2024,29-04-2024,Chennai,South,WH_CHN_01,AGT_0050,Delhivery,Books,2994.38,COD,2,2,0,On Time,No,None,No,1,April,Q2,No,No
ORD100058,26-04-2024,29-04-2024,04-05-2024,Chennai,South,WH_CHN_01,AGT_0126,Ekart,Books,4223.52,Prepaid,3,8,5,Moderate Delay,Yes,Customer Unavailable,Yes,2,April,Q2,No,No
ORD100059,07-01-2024,12-01-2024,12-01-2024,Bhopal,Central,WH_BHO_01,AGT_0030,Dunzo,Books,2887.8,Prepaid,5,5,0,On Time,No,None,No,1,January,Q1,No,No
ORD100060,03-02-2024,04-02-2024,03-02-2024,Bhopal,Central,WH_BHO_01,AGT_0058,Ecom Express,Fashion,2403.15,COD,1,2,1,Minor Delay,Yes,None,No,1,February,Q1,No,No
ORD100061,24-09-2024,29-09-2024,04-10-2024,Patna,East,WH_PAT_01,AGT_0055,XpressBees,Fashion,4684.9,Prepaid,5,10,5,Moderate Delay,Yes,Warehouse Processing Delay,Yes,1,September,Q3,No,Yes
ORD100062,04-12-2024,06-12-2024,07-12-2024,Chennai,South,WH_CHN_01,AGT_0009,DTDC,Toys,189.73,COD,2,3,1,Minor Delay,Yes,Customer Unavailable,No,2,December,Q4,No,No
ORD100063,27-12-2024,01-01-2025,03-01-2025,Chennai,South,WH_CHN_01,AGT_0140,Delhivery,Beauty,11849.25,Prepaid,5,7,2,Minor Delay,Yes,Weather Conditions,No,1,December,Q4,No,No
ORD100064,27-11-2024,30-11-2024,29-11-2024,Hyderabad,South,WH_HYD_01,AGT_0032,Dunzo,Books,1035.62,COD,3,3,0,On Time,No,None,No,1,November,Q4,Yes,No
ORD100065,18-12-2024,23-12-2024,23-12-2024,Ahmedabad,West,WH_AMD_01,AGT_0065,Shadowfax,Beauty,6650.72,Prepaid,5,5,0,On Time,No,None,No,1,December,Q4,No,No
ORD100066,16-02-2024,23-02-2024,22-02-2024,Mumbai,West,WH_MUM_01,AGT_0133,Dunzo,Groceries,14993.65,COD,7,7,0,On Time,No,None,No,1,February,Q1,No,No
ORD100067,14-08-2024,21-08-2024,21-08-2024,Surat,West,WH_SRT_01,AGT_0027,Shadowfax,Sports,14540.47,COD,7,7,0,On Time,No,None,No,1,August,Q3,No,Yes
ORD100068,23-03-2024,28-03-2024,01-04-2024,Bhopal,Central,WH_BHO_01,AGT_0132,Ecom Express,Fashion,6904.16,COD,5,9,4,Moderate Delay,Yes,Traffic Congestion,Yes,1,March,Q1,No,No
ORD100069,01-01-2024,08-01-2024,07-01-2024,Bhopal,Central,WH_BHO_01,AGT_0014,Dunzo,Toys,2935.6,COD,7,7,0,On Time,No,None,No,1,January,Q1,No,No
ORD100070,16-05-2024,19-05-2024,19-05-2024,Hyderabad,South,WH_HYD_01,AGT_0142,DTDC,Groceries,1953.18,Prepaid,3,3,0,On Time,No,None,No,1,May,Q2,No,No
ORD100071,09-10-2024,11-10-2024,10-10-2024,Mumbai,West,WH_MUM_01,AGT_0075,Dunzo,Groceries,7002.5,Prepaid,2,2,0,On Time,No,None,No,1,October,Q4,Yes,No
ORD100072,27-12-2024,01-01-2025,31-12-2024,Jaipur,North,WH_JAI_01,AGT_0131,XpressBees,Beauty,6933.28,Prepaid,5,5,0,On Time,No,None,No,1,December,Q4,No,No
ORD100073,10-03-2024,15-03-2024,22-03-2024,Nagpur,Central,WH_NGP_01,AGT_0115,Ekart,Toys,12335.16,COD,5,12,7,Severe Delay,Yes,Weather Conditions,Yes,1,March,Q1,No,No
ORD100074,04-09-2024,11-09-2024,11-09-2024,Jaipur,North,WH_JAI_01,AGT_0060,Ecom Express,Home & Kitchen,6911.87,COD,7,7,0,On Time,No,None,No,1,September,Q3,No,Yes
ORD100075,29-07-2024,03-08-2024,03-08-2024,Bhopal,Central,WH_BHO_01,AGT_0033,BlueDart,Toys,5883.27,Prepaid,5,5,0,On Time,No,None,No,1,July,Q3,No,Yes
ORD100076,29-10-2024,30-10-2024,30-10-2024,Jaipur,North,WH_JAI_01,AGT_0020,Ekart,Beauty,1630.72,COD,1,2,1,Minor Delay,Yes,None,No,1,October,Q4,Yes,No
ORD100077,15-05-2024,20-05-2024,20-05-2024,Ahmedabad,West,WH_AMD_01,AGT_0018,BlueDart,Toys,12807.27,COD,5,5,0,On Time,No,None,No,1,May,Q2,No,No
ORD100078,19-11-2024,22-11-2024,21-11-2024,Hyderabad,South,WH_HYD_01,AGT_0043,Dunzo,Fashion,6594.48,Prepaid,3,3,0,On Time,No,None,No,1,November,Q4,Yes,No
ORD100079,02-06-2024,05-06-2024,05-06-2024,Nagpur,Central,WH_NGP_01,AGT_0044,Ekart,Beauty,5473.18,COD,3,6,3,Moderate Delay,Yes,None,No,1,June,Q2,No,Yes
ORD100080,10-02-2024,15-02-2024,14-02-2024,Bangalore,South,WH_BLR_01,AGT_0066,Dunzo,Home & Kitchen,7540.36,Prepaid,5,5,0,On Time,No,None,No,1,February,Q1,No,No
ORD100081,10-05-2024,15-05-2024,14-05-2024,Ahmedabad,West,WH_AMD_01,AGT_0065,Ecom Express,Books,1246.85,COD,5,5,0,On Time,No,None,No,1,May,Q2,No,No
ORD100082,03-06-2024,08-06-2024,12-06-2024,Ahmedabad,West,WH_AMD_01,AGT_0003,DTDC,Beauty,8685.96,COD,5,9,4,Moderate Delay,Yes,High Order Volume,Yes,1,June,Q2,No,Yes
ORD100083,17-12-2024,24-12-2024,24-12-2024,Lucknow,North,WH_LKO_01,AGT_0049,XpressBees,Sports,11669.75,Prepaid,7,7,0,On Time,No,None,No,1,December,Q4,No,No
ORD100084,08-05-2024,10-05-2024,09-05-2024,Lucknow,North,WH_LKO_01,AGT_0076,Delhivery,Groceries,4737.65,COD,2,4,2,Minor Delay,Yes,None,No,1,May,Q2,No,No
ORD100085,31-07-2024,02-08-2024,02-08-2024,Kolkata,East,WH_KOL_01,AGT_0076,Dunzo,Books,8033.16,COD,2,2,0,On Time,No,None,No,1,July,Q3,No,Yes
ORD100086,22-06-2024,23-06-2024,25-06-2024,Nagpur,Central,WH_NGP_01,AGT_0138,DTDC,Electronics,14513.96,COD,1,3,2,Minor Delay,Yes,Warehouse Processing Delay,No,1,June,Q2,No,Yes
ORD100087,20-08-2024,23-08-2024,23-08-2024,Delhi,North,WH_DEL_01,AGT_0144,BlueDart,Toys,1758.94,Prepaid,3,3,0,On Time,No,None,No,1,August,Q3,No,Yes
ORD100088,08-11-2024,09-11-2024,09-11-2024,Kolkata,East,WH_KOL_01,AGT_0012,Ekart,Fashion,13654.41,COD,1,1,0,On Time,No,None,No,1,November,Q4,Yes,No
ORD100089,04-06-2024,05-06-2024,10-06-2024,Mumbai,West,WH_MUM_01,AGT_0107,Ekart,Beauty,5921.39,COD,1,6,5,Moderate Delay,Yes,Customer Unavailable,Yes,2,June,Q2,No,Yes
ORD100090,07-09-2024,10-09-2024,13-09-2024,Bhopal,Central,WH_BHO_01,AGT_0095,Delhivery,Sports,6734.24,Prepaid,3,6,3,Moderate Delay,Yes,Vehicle Breakdown,Yes,1,September,Q3,No,Yes
ORD100091,26-11-2024,01-12-2024,02-12-2024,Jaipur,North,WH_JAI_01,AGT_0086,BlueDart,Electronics,1511.35,Prepaid,5,6,1,Minor Delay,Yes,Route Optimization Failure,No,1,November,Q4,Yes,No
ORD100092,05-03-2024,06-03-2024,05-03-2024,Hyderabad,South,WH_HYD_01,AGT_0001,Ekart,Sports,8857.79,Prepaid,1,1,0,On Time,No,None,No,1,March,Q1,No,No
ORD100093,15-03-2024,18-03-2024,17-03-2024,Chennai,South,WH_CHN_01,AGT_0092,BlueDart,Groceries,9966.71,Prepaid,3,3,0,On Time,No,None,No,1,March,Q1,No,No
ORD100094,01-05-2024,02-05-2024,03-05-2024,Patna,East,WH_PAT_01,AGT_0115,Dunzo,Fashion,11164.51,Prepaid,1,2,1,Minor Delay,Yes,Customer Unavailable,No,3,May,Q2,No,No
ORD100095,30-10-2024,06-11-2024,11-11-2024,Jaipur,North,WH_JAI_01,AGT_0123,BlueDart,Electronics,10949.56,COD,7,12,5,Moderate Delay,Yes,Traffic Congestion,Yes,1,October,Q4,Yes,No
ORD100096,24-07-2024,25-07-2024,29-07-2024,Bhopal,Central,WH_BHO_01,AGT_0071,Ekart,Fashion,13504.11,COD,1,5,4,Moderate Delay,Yes,Wrong Address,Yes,1,July,Q3,No,Yes
ORD100097,20-11-2024,23-11-2024,28-11-2024,Lucknow,North,WH_LKO_01,AGT_0111,XpressBees,Fashion,6887.67,COD,3,8,5,Moderate Delay,Yes,Weather Conditions,Yes,1,November,Q4,Yes,No
ORD100098,26-04-2024,01-05-2024,30-04-2024,Ahmedabad,West,WH_AMD_01,AGT_0122,Ekart,Sports,4791.34,COD,5,5,0,On Time,No,None,No,1,April,Q2,No,No
ORD100099,16-02-2024,21-02-2024,27-02-2024,Delhi,North,WH_DEL_01,AGT_0106,Delhivery,Sports,12204.77,Prepaid,5,11,6,Severe Delay,Yes,High Order Volume,Yes,1,February,Q1,No,No
ORD100100,06-12-2024,07-12-2024,07-12-2024,Kolkata,East,WH_KOL_01,AGT_0058,Dunzo,Groceries,5371.95,Prepaid,1,1,0,On Time,No,None,No,1,December,Q4,No,No
ORD100101,25-02-2024,03-03-2024,10-03-2024,Bhopal,Central,WH_BHO_01,AGT_0008,DTDC,Electronics,8675.39,COD,7,14,7,Severe Delay,Yes,Weather Conditions,Yes,1,February,Q1,No,No
ORD100102,19-05-2024,22-05-2024,22-05-2024,Bangalore,South,WH_BLR_01,AGT_0037,Delhivery,Beauty,240.67,Prepaid,3,3,0,On Time,No,None,No,1,May,Q2,No,No
ORD100103,20-11-2024,27-11-2024,01-12-2024,Nagpur,Central,WH_NGP_01,AGT_0014,Delhivery,Sports,5212.31,COD,7,11,4,Moderate Delay,Yes,Route Optimization Failure,Yes,1,November,Q4,Yes,No
ORD100104,21-03-2024,22-03-2024,28-03-2024,Bangalore,South,WH_BLR_01,AGT_0089,Delhivery,Home & Kitchen,7362.08,COD,1,7,6,Severe Delay,Yes,Warehouse Processing Delay,Yes,1,March,Q1,No,No
ORD100105,26-02-2024,04-03-2024,04-03-2024,Pune,West,WH_PUN_01,AGT_0053,BlueDart,Electronics,824.45,COD,7,7,0,On Time,No,None,No,1,February,Q1,No,No
ORD100106,18-04-2024,21-04-2024,22-04-2024,Chennai,South,WH_CHN_01,AGT_0129,XpressBees,Beauty,7536.17,COD,3,4,1,Minor Delay,Yes,Traffic Congestion,No,1,April,Q2,No,No
ORD100107,08-12-2024,13-12-2024,12-12-2024,Jaipur,North,WH_JAI_01,AGT_0147,Ecom Express,Sports,6627.86,COD,5,5,0,On Time,No,None,No,1,December,Q4,No,No
ORD100108,29-12-2024,01-01-2025,02-01-2025,Pune,West,WH_PUN_01,AGT_0112,Delhivery,Sports,2702.32,COD,3,4,1,Minor Delay,Yes,High Order Volume,No,1,December,Q4,No,No
ORD100109,24-02-2024,02-03-2024,01-03-2024,Bhopal,Central,WH_BHO_01,AGT_0044,Shadowfax,Home & Kitchen,6027.14,COD,7,7,0,On Time,No,None,No,1,February,Q1,No,No
ORD100110,18-09-2024,25-09-2024,25-09-2024,Delhi,North,WH_DEL_01,AGT_0038,Delhivery,Home & Kitchen,5363.83,Prepaid,7,7,0,On Time,No,None,No,1,September,Q3,No,Yes
ORD100111,11-04-2024,13-04-2024,12-04-2024,Chennai,South,WH_CHN_01,AGT_0081,Shadowfax,Toys,2780.62,COD,2,2,0,On Time,No,None,No,1,April,Q2,No,No
ORD100112,13-08-2024,18-08-2024,18-08-2024,Bangalore,South,WH_BLR_01,AGT_0116,Dunzo,Books,8932.58,COD,5,5,0,On Time,No,None,No,1,August,Q3,No,Yes
ORD100113,30-01-2024,02-02-2024,09-02-2024,Mumbai,West,WH_MUM_01,AGT_0147,Dunzo,Electronics,9282.87,COD,3,10,7,Severe Delay,Yes,Wrong Address,Yes,1,January,Q1,No,No
ORD100114,06-04-2024,11-04-2024,10-04-2024,Surat,West,WH_SRT_01,AGT_0011,Ekart,Fashion,6840.27,COD,5,5,0,On Time,No,None,No,1,April,Q2,No,No
ORD100115,28-12-2024,04-01-2025,03-01-2025,Hyderabad,South,WH_HYD_01,AGT_0086,BlueDart,Sports,5553.88,COD,7,7,0,On Time,No,None,No,1,December,Q4,No,No
ORD100116,17-06-2024,22-06-2024,28-06-2024,Delhi,North,WH_DEL_01,AGT_0101,DTDC,Sports,5100.43,Prepaid,5,11,6,Severe Delay,Yes,Customer Unavailable,Yes,2,June,Q2,No,Yes
ORD100117,28-12-2024,04-01-2025,04-01-2025,Lucknow,North,WH_LKO_01,AGT_0005,Shadowfax,Beauty,12225.79,Prepaid,7,7,0,On Time,No,None,No,1,December,Q4,No,No
ORD100118,07-06-2024,10-06-2024,10-06-2024,Kolkata,East,WH_KOL_01,AGT_0076,Delhivery,Groceries,3001.28,Prepaid,3,3,0,On Time,No,None,No,1,June,Q2,No,Yes
ORD100119,21-02-2024,28-02-2024,27-02-2024,Bhopal,Central,WH_BHO_01,AGT_0042,Ekart,Beauty,9979.65,Prepaid,7,7,0,On Time,No,None,No,1,February,Q1,No,No
ORD100120,20-12-2024,22-12-2024,21-12-2024,Bangalore,South,WH_BLR_01,AGT_0115,DTDC,Toys,6251.25,Prepaid,2,2,0,On Time,No,None,No,1,December,Q4,No,No
ORD100121,30-09-2024,05-10-2024,04-10-2024,Hyderabad,South,WH_HYD_01,AGT_0129,Ecom Express,Books,5612.44,COD,5,5,0,On Time,No,None,No,1,September,Q3,No,Yes
ORD100122,02-08-2024,04-08-2024,03-08-2024,Jaipur,North,WH_JAI_01,AGT_0142,Shadowfax,Toys,13114.08,Prepaid,2,2,0,On Time,No,None,No,1,August,Q3,No,Yes
ORD100123,22-02-2024,29-02-2024,29-02-2024,Indore,Central,WH_IND_01,AGT_0132,Dunzo,Books,1395.55,Prepaid,7,7,0,On Time,No,None,No,1,February,Q1,No,No
ORD100124,11-08-2024,13-08-2024,13-08-2024,Bangalore,South,WH_BLR_01,AGT_0099,XpressBees,Sports,13967.51,COD,2,5,3,Moderate Delay,Yes,None,No,1,August,Q3,No,Yes
ORD100125,10-07-2024,13-07-2024,13-07-2024,Delhi,North,WH_DEL_01,AGT_0121,DTDC,Electronics,11902,Prepaid,3,3,0,On Time,No,None,No,1,July,Q3,No,Yes
ORD100126,12-03-2024,17-03-2024,16-03-2024,Nagpur,Central,WH_NGP_01,AGT_0029,Ecom Express,Groceries,432.21,Prepaid,5,5,0,On Time,No,None,No,1,March,Q1,No,No
ORD100127,27-05-2024,28-05-2024,01-06-2024,Patna,East,WH_PAT_01,AGT_0037,XpressBees,Electronics,1082.69,COD,1,5,4,Moderate Delay,Yes,Route Optimization Failure,Yes,1,May,Q2,No,No
ORD100128,07-08-2024,10-08-2024,14-08-2024,Chennai,South,WH_CHN_01,AGT_0135,Delhivery,Sports,10015.91,Prepaid,3,7,4,Moderate Delay,Yes,Customer Unavailable,Yes,2,August,Q3,No,Yes
