Order_ID,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,City,Zone,Warehouse_ID,Delivery_Agent_ID,Vendor,Product_Category,Order_Value_INR,Payment_Mode,Promised_Delivery_Days,Actual_Delivery_Days,Delay_Days,Is_Delayed,Delay_Reason,SLA_Breached,Delivery_Attempts,Month,Quarter,Is_Festive_Season,Is_Monsoon_Season
ORD100039,2024-12-22 12:31,2024-12-27,2025-01-02,Hyderabad,South,WH_HYD_01,AGT_0046,XpressBees,Beauty,13406.0,Prepaid,5,11,6,Yes,Traffic Congestion,Yes,1,December,Q4,No,No
ORD100040,2024-12-22 16:29,2024-12-23,2024-12-22,Patna,East,WH_PAT_01,AGT_0130,Dunzo,Sports,6928.46,COD,1,1,0,No,None,No,1,December,Q4,No,No
ORD100041,2024-10-07 14:57,2024-10-09,2024-10-09,Pune,West,WH_PUN_01,AGT_0062,Dunzo,Books,6833.54,Prepaid,2,2,0,No,None,No,1,October,Q4,Yes,No
ORD100042,2024-08-13 02:45,2024-08-16,2024-08-19,Chennai,South,WH_CHN_01,AGT_0060,Ekart,Groceries,13411.45,Prepaid,3,6,3,Yes,High Order Volume,Yes,1,August,Q3,No,Yes
ORD100043,2024-12-21 04:45,2024-12-23,2024-12-27,Pune,West,WH_PUN_01,AGT_0148,BlueDart,Beauty,8207.78,COD,2,6,4,Yes,High Order Volume,Yes,1,December,Q4,No,No
ORD100044,2024-09-01 00:22,2024-09-04,2024-09-04,Pune,West,WH_PUN_01,AGT_0070,XpressBees,Toys,8142.58,Prepaid,3,3,0,No,None,No,1,September,Q3,No,Yes
ORD100045,2024-09-05 00:24,2024-09-08,2024-09-08,Pune,West,WH_PUN_01,AGT_0145,Ecom Express,Electronics,10904.09,COD,3,3,0,No,None,No,1,September,Q3,No,Yes
ORD100046,2024-01-14 02:41,2024-01-19,2024-01-23,Surat,West,WH_SRT_01,AGT_0087,Shadowfax,Toys,896.73,COD,5,9,4,Yes,Customer Unavailable,Yes,3,January,Q1,No,No
ORD100047,2024-08-03 08:53,2024-08-04,2024-08-03,Chennai,South,WH_CHN_01,AGT_0008,BlueDart,Fashion,14998.63,COD,1,1,0,No,None,No,1,August,Q3,No,Yes
ORD100048,2024-04-12 00:39,2024-04-14,2024-04-18,Hyderabad,South,WH_HYD_01,AGT_0095,DTDC,Toys,8524.95,Prepaid,2,6,4,Yes,Wrong Address,Yes,1,April,Q2,No,No
ORD100049,2024-11-06 19:47,2024-11-07,2024-11-06,Bangalore,South,WH_BLR_01,AGT_0148,DTDC,Electronics,14476.1,Prepaid,1,1,0,No,None,No,1,November,Q4,Yes,No
ORD100050,2024-07-11 12:45,2024-07-13,2024-07-19,Surat,West,WH_SRT_01,AGT_0089,BlueDart,Fashion,1663.23,COD,2,8,6,Yes,Vehicle Breakdown,Yes,1,July,Q3,No,Yes
ORD100051,2024-08-07 21:23,2024-08-08,2024-08-08,Jaipur,North,WH_JAI_01,AGT_0093,Ecom Express,Fashion,337.88,COD,1,1,0,No,None,No,1,August,Q3,No,Yes
ORD100052,2024-08-23 22:09,2024-08-28,2024-09-02,Surat,West,WH_SRT_01,AGT_0063,Shadowfax,Books,9296.3,COD,5,10,5,Yes,Weather Conditions,Yes,1,August,Q3,No,Yes
ORD100053,2024-02-14 08:56,2024-02-19,2024-02-23,Bhopal,Central,WH_BHO_01,AGT_0055,Dunzo,Groceries,5145.49,COD,5,9,4,Yes,Warehouse Processing Delay,Yes,1,February,Q1,No,No
ORD100054,2024-05-12 10:17,2024-05-19,2024-05-19,Kolkata,East,WH_KOL_01,AGT_0105,XpressBees,Fashion,8403.5,Prepaid,7,7,0,No,None,No,1,May,Q2,No,No
ORD100055,2024-10-11 07:44,2024-10-16,2024-10-16,Ahmedabad,West,WH_AMD_01,AGT_0057,DTDC,Fashion,6805.39,Prepaid,5,5,0,No,None,No,1,October,Q4,Yes,No
ORD100056,2024-12-20 07:19,2024-12-27,2024-12-27,Pune,West,WH_PUN_01,AGT_0079,DTDC,Toys,6468.73,COD,7,7,0,No,None,No,1,December,Q4,No,No
ORD100057,2024-04-28 03:46,2024-04-30,2024-04-29,Chennai,South,WH_CHN_01,AGT_0050,Delhivery,Books,2994.38,COD,2,2,0,No,None,No,1,April,Q2,No,No
ORD100058,2024-04-26 11:11,2024-04-29,2024-05-04,Chennai,South,WH_CHN_01,AGT_0126,Ekart,Books,4223.52,Prepaid,3,8,5,Yes,Customer Unavailable,Yes,2,April,Q2,No,No
ORD100059,2024-01-07 18:18,2024-01-12,2024-01-12,Bhopal,Central,WH_BHO_01,AGT_0030,Dunzo,Books,2887.8,Prepaid,5,5,0,No,None,No,1,January,Q1,No,No
ORD100060,2024-02-03 12:31,2024-02-04,2024-02-03,Bhopal,Central,WH_BHO_01,AGT_0058,Ecom Express,Fashion,2403.15,COD,1,2,1,Yes,None,No,1,February,Q1,No,No
ORD100061,2024-09-24 12:28,2024-09-29,2024-10-04,Patna,East,WH_PAT_01,AGT_0055,XpressBees,Fashion,4684.9,Prepaid,5,10,5,Yes,Warehouse Processing Delay,Yes,1,September,Q3,No,Yes
ORD100062,2024-12-04 02:10,2024-12-06,2024-12-07,Chennai,South,WH_CHN_01,AGT_0009,DTDC,Toys,189.73,COD,2,3,1,Yes,Customer Unavailable,No,2,December,Q4,No,No
ORD100063,2024-12-27 09:44,2025-01-01,2025-01-03,Chennai,South,WH_CHN_01,AGT_0140,Delhivery,Beauty,11849.25,Prepaid,5,7,2,Yes,Weather Conditions,No,1,December,Q4,No,No
ORD100064,2024-11-27 04:58,2024-11-30,2024-11-29,Hyderabad,South,WH_HYD_01,AGT_0032,Dunzo,Books,1035.62,COD,3,3,0,No,None,No,1,November,Q4,Yes,No
ORD100065,2024-12-18 09:44,2024-12-23,2024-12-23,Ahmedabad,West,WH_AMD_01,AGT_0065,Shadowfax,Beauty,6650.72,Prepaid,5,5,0,No,None,No,1,December,Q4,No,No
ORD100066,2024-02-16 07:43,2024-02-23,2024-02-22,Mumbai,West,WH_MUM_01,AGT_0133,Dunzo,Groceries,14993.65,COD,7,7,0,No,None,No,1,February,Q1,No,No
ORD100067,2024-08-14 08:11,2024-08-21,2024-08-21,Surat,West,WH_SRT_01,AGT_0027,Shadowfax,Sports,14540.47,COD,7,7,0,No,None,No,1,August,Q3,No,Yes
ORD100068,2024-03-23 10:26,2024-03-28,2024-04-01,Bhopal,Central,WH_BHO_01,AGT_0132,Ecom Express,Fashion,6904.16,COD,5,9,4,Yes,Traffic Congestion,Yes,1,March,Q1,No,No
ORD100069,2024-01-01 21:55,2024-01-08,2024-01-07,Bhopal,Central,WH_BHO_01,AGT_0014,Dunzo,Toys,2935.6,COD,7,7,0,No,None,No,1,January,Q1,No,No
ORD100070,2024-05-16 17:08,2024-05-19,2024-05-19,Hyderabad,South,WH_HYD_01,AGT_0142,DTDC,Groceries,1953.18,Prepaid,3,3,0,No,None,No,1,May,Q2,No,No
ORD100071,2024-10-09 13:05,2024-10-11,2024-10-10,Mumbai,West,WH_MUM_01,AGT_0075,Dunzo,Groceries,7002.5,Prepaid,2,2,0,No,None,No,1,October,Q4,Yes,No
ORD100072,2024-12-27 08:26,2025-01-01,2024-12-31,Jaipur,North,WH_JAI_01,AGT_0131,XpressBees,Beauty,6933.28,Prepaid,5,5,0,No,None,No,1,December,Q4,No,No
ORD100073,2024-03-10 02:17,2024-03-15,2024-03-22,Nagpur,Central,WH_NGP_01,AGT_0115,Ekart,Toys,12335.16,COD,5,12,7,Yes,Weather Conditions,Yes,1,March,Q1,No,No
ORD100074,2024-09-04 11:21,2024-09-11,2024-09-11,Jaipur,North,WH_JAI_01,AGT_0060,Ecom Express,Home & Kitchen,6911.87,COD,7,7,0,No,None,No,1,September,Q3,No,Yes
ORD100075,2024-07-29 01:20,2024-08-03,2024-08-03,Bhopal,Central,WH_BHO_01,AGT_0033,BlueDart,Toys,5883.27,Prepaid,5,5,0,No,None,No,1,July,Q3,No,Yes
ORD100076,2024-10-29 10:55,2024-10-30,2024-10-30,Jaipur,North,WH_JAI_01,AGT_0020,Ekart,Beauty,1630.72,COD,1,2,1,Yes,None,No,1,October,Q4,Yes,No
ORD100077,2024-05-15 10:39,2024-05-20,2024-05-20,Ahmedabad,West,WH_AMD_01,AGT_0018,BlueDart,Toys,12807.27,COD,5,5,0,No,None,No,1,May,Q2,No,No
ORD100078,2024-11-19 21:58,2024-11-22,2024-11-21,Hyderabad,South,WH_HYD_01,AGT_0043,Dunzo,Fashion,6594.48,Prepaid,3,3,0,No,None,No,1,November,Q4,Yes,No
ORD100079,2024-06-02 00:02,2024-06-05,2024-06-05,Nagpur,Central,WH_NGP_01,AGT_0044,Ekart,Beauty,5473.18,COD,3,6,3,Yes,None,No,1,June,Q2,No,Yes
ORD100080,2024-02-10 19:55,2024-02-15,2024-02-14,Bangalore,South,WH_BLR_01,AGT_0066,Dunzo,Home & Kitchen,7540.36,Prepaid,5,5,0,No,None,No,1,February,Q1,No,No
ORD100081,2024-05-10 21:00,2024-05-15,2024-05-14,Ahmedabad,West,WH_AMD_01,AGT_0065,Ecom Express,Books,1246.85,COD,5,5,0,No,None,No,1,May,Q2,No,No
ORD100082,2024-06-03 06:24,2024-06-08,2024-06-12,Ahmedabad,West,WH_AMD_01,AGT_0003,DTDC,Beauty,8685.96,COD,5,9,4,Yes,High Order Volume,Yes,1,June,Q2,No,Yes
ORD100083,2024-12-17 23:03,2024-12-24,2024-12-24,Lucknow,North,WH_LKO_01,AGT_0049,XpressBees,Sports,11669.75,Prepaid,7,7,0,No,None,No,1,December,Q4,No,No
ORD100084,2024-05-08 21:48,2024-05-10,2024-05-09,Lucknow,North,WH_LKO_01,AGT_0076,Delhivery,Groceries,4737.65,COD,2,4,2,Yes,None,No,1,May,Q2,No,No
ORD100085,2024-07-31 05:12,2024-08-02,2024-08-02,Kolkata,East,WH_KOL_01,AGT_0076,Dunzo,Books,8033.16,COD,2,2,0,No,None,No,1,July,Q3,No,Yes
ORD100086,2024-06-22 03:29,2024-06-23,2024-06-25,Nagpur,Central,WH_NGP_01,AGT_0138,DTDC,Electronics,14513.96,COD,1,3,2,Yes,Warehouse Processing Delay,No,1,June,Q2,No,Yes
ORD100087,2024-08-20 11:43,2024-08-23,2024-08-23,Delhi,North,WH_DEL_01,AGT_0144,BlueDart,Toys,1758.94,Prepaid,3,3,0,No,None,No,1,August,Q3,No,Yes
ORD100088,2024-11-08 07:41,2024-11-09,2024-11-09,Kolkata,East,WH_KOL_01,AGT_0012,Ekart,Fashion,13654.41,COD,1,1,0,No,None,No,1,November,Q4,Yes,No
ORD100089,2024-06-04 15:07,2024-06-05,2024-06-10,Mumbai,West,WH_MUM_01,AGT_0107,Ekart,Beauty,5921.39,COD,1,6,5,Yes,Customer Unavailable,Yes,2,June,Q2,No,Yes
ORD100090,2024-09-07 19:26,2024-09-10,2024-09-13,Bhopal,Central,WH_BHO_01,AGT_0095,Delhivery,Sports,6734.24,Prepaid,3,6,3,Yes,Vehicle Breakdown,Yes,1,September,Q3,No,Yes
ORD100091,2024-11-26 11:03,2024-12-01,2024-12-02,Jaipur,North,WH_JAI_01,AGT_0086,BlueDart,Electronics,1511.35,Prepaid,5,6,1,Yes,Route Optimization Failure,No,1,November,Q4,Yes,No
ORD100092,2024-03-05 18:13,2024-03-06,2024-03-05,Hyderabad,South,WH_HYD_01,AGT_0001,Ekart,Sports,8857.79,Prepaid,1,1,0,No,None,No,1,March,Q1,No,No
ORD100093,2024-03-15 04:34,2024-03-18,2024-03-17,Chennai,South,WH_CHN_01,AGT_0092,BlueDart,Groceries,9966.71,Prepaid,3,3,0,No,None,No,1,March,Q1,No,No
ORD100094,2024-05-01 18:20,2024-05-02,2024-05-03,Patna,East,WH_PAT_01,AGT_0115,Dunzo,Fashion,11164.51,Prepaid,1,2,1,Yes,Customer Unavailable,No,3,May,Q2,No,No
ORD100095,2024-10-30 03:28,2024-11-06,2024-11-11,Jaipur,North,WH_JAI_01,AGT_0123,BlueDart,Electronics,10949.56,COD,7,12,5,Yes,Traffic Congestion,Yes,1,October,Q4,Yes,No
ORD100096,2024-07-24 13:43,2024-07-25,2024-07-29,Bhopal,Central,WH_BHO_01,AGT_0071,Ekart,Fashion,13504.11,COD,1,5,4,Yes,Wrong Address,Yes,1,July,Q3,No,Yes
ORD100097,2024-11-20 18:35,2024-11-23,2024-11-28,Lucknow,North,WH_LKO_01,AGT_0111,XpressBees,Fashion,6887.67,COD,3,8,5,Yes,Weather Conditions,Yes,1,November,Q4,Yes,No
ORD100098,2024-04-26 13:21,2024-05-01,2024-04-30,Ahmedabad,West,WH_AMD_01,AGT_0122,Ekart,Sports,4791.34,COD,5,5,0,No,None,No,1,April,Q2,No,No
ORD100099,2024-02-16 02:05,2024-02-21,2024-02-27,Delhi,North,WH_DEL_01,AGT_0106,Delhivery,Sports,12204.77,Prepaid,5,11,6,Yes,High Order Volume,Yes,1,February,Q1,No,No
ORD100100,2024-12-06 13:55,2024-12-07,2024-12-07,Kolkata,East,WH_KOL_01,AGT_0058,Dunzo,Groceries,5371.95,Prepaid,1,1,0,No,None,No,1,December,Q4,No,No
ORD100101,2024-02-25 11:54,2024-03-03,2024-03-10,Bhopal,Central,WH_BHO_01,AGT_0008,DTDC,Electronics,8675.39,COD,7,14,7,Yes,Weather Conditions,Yes,1,February,Q1,No,No
ORD100102,2024-05-19 22:48,2024-05-22,2024-05-22,Bangalore,South,WH_BLR_01,AGT_0037,Delhivery,Beauty,240.67,Prepaid,3,3,0,No,None,No,1,May,Q2,No,No
ORD100103,2024-11-20 00:05,2024-11-27,2024-12-01,Nagpur,Central,WH_NGP_01,AGT_0014,Delhivery,Sports,5212.31,COD,7,11,4,Yes,Route Optimization Failure,Yes,1,November,Q4,Yes,No
ORD100104,2024-03-21 19:03,2024-03-22,2024-03-28,Bangalore,South,WH_BLR_01,AGT_0089,Delhivery,Home & Kitchen,7362.08,COD,1,7,6,Yes,Warehouse Processing Delay,Yes,1,March,Q1,No,No
ORD100105,2024-02-26 09:43,2024-03-04,2024-03-04,Pune,West,WH_PUN_01,AGT_0053,BlueDart,Electronics,824.45,COD,7,7,0,No,None,No,1,February,Q1,No,No
ORD100106,2024-04-18 04:48,2024-04-21,2024-04-22,Chennai,South,WH_CHN_01,AGT_0129,XpressBees,Beauty,7536.17,COD,3,4,1,Yes,Traffic Congestion,No,1,April,Q2,No,No
ORD100107,2024-12-08 11:04,2024-12-13,2024-12-12,Jaipur,North,WH_JAI_01,AGT_0147,Ecom Express,Sports,6627.86,COD,5,5,0,No,None,No,1,December,Q4,No,No
ORD100108,2024-12-29 20:26,2025-01-01,2025-01-02,Pune,West,WH_PUN_01,AGT_0112,Delhivery,Sports,2702.32,COD,3,4,1,Yes,High Order Volume,No,1,December,Q4,No,No
ORD100109,2024-02-24 07:27,2024-03-02,2024-03-01,Bhopal,Central,WH_BHO_01,AGT_0044,Shadowfax,Home & Kitchen,6027.14,COD,7,7,0,No,None,No,1,February,Q1,No,No
ORD100110,2024-09-18 20:07,2024-09-25,2024-09-25,Delhi,North,WH_DEL_01,AGT_0038,Delhivery,Home & Kitchen,5363.83,Prepaid,7,7,0,No,None,No,1,September,Q3,No,Yes
ORD100111,2024-04-11 05:38,2024-04-13,2024-04-12,Chennai,South,WH_CHN_01,AGT_0081,Shadowfax,Toys,2780.62,COD,2,2,0,No,None,No,1,April,Q2,No,No
ORD100112,2024-08-13 02:30,2024-08-18,2024-08-18,Bangalore,South,WH_BLR_01,AGT_0116,Dunzo,Books,8932.58,COD,5,5,0,No,None,No,1,August,Q3,No,Yes
ORD100113,2024-01-30 11:53,2024-02-02,2024-02-09,Mumbai,West,WH_MUM_01,AGT_0147,Dunzo,Electronics,9282.87,COD,3,10,7,Yes,Wrong Address,Yes,1,January,Q1,No,No
ORD100114,2024-04-06 10:38,2024-04-11,2024-04-10,Surat,West,WH_SRT_01,AGT_0011,Ekart,Fashion,6840.27,COD,5,5,0,No,None,No,1,April,Q2,No,No
ORD100115,2024-12-28 14:28,2025-01-04,2025-01-03,Hyderabad,South,WH_HYD_01,AGT_0086,BlueDart,Sports,5553.88,COD,7,7,0,No,None,No,1,December,Q4,No,No
ORD100116,2024-06-17 03:35,2024-06-22,2024-06-28,Delhi,North,WH_DEL_01,AGT_0101,DTDC,Sports,5100.43,Prepaid,5,11,6,Yes,Customer Unavailable,Yes,2,June,Q2,No,Yes
ORD100117,2024-12-28 02:19,2025-01-04,2025-01-04,Lucknow,North,WH_LKO_01,AGT_0005,Shadowfax,Beauty,12225.79,Prepaid,7,7,0,No,None,No,1,December,Q4,No,No
ORD100118,2024-06-07 05:13,2024-06-10,2024-06-10,Kolkata,East,WH_KOL_01,AGT_0076,Delhivery,Groceries,3001.28,Prepaid,3,3,0,No,None,No,1,June,Q2,No,Yes
ORD100119,2024-02-21 16:49,2024-02-28,2024-02-27,Bhopal,Central,WH_BHO_01,AGT_0042,Ekart,Beauty,9979.65,Prepaid,7,7,0,No,None,No,1,February,Q1,No,No
ORD100120,2024-12-20 19:51,2024-12-22,2024-12-21,Bangalore,South,WH_BLR_01,AGT_0115,DTDC,Toys,6251.25,Prepaid,2,2,0,No,None,No,1,December,Q4,No,No
ORD100121,2024-09-30 07:19,2024-10-05,2024-10-04,Hyderabad,South,WH_HYD_01,AGT_0129,Ecom Express,Books,5612.44,COD,5,5,0,No,None,No,1,September,Q3,No,Yes
ORD100122,2024-08-02 05:52,2024-08-04,2024-08-03,Jaipur,North,WH_JAI_01,AGT_0142,Shadowfax,Toys,13114.08,Prepaid,2,2,0,No,None,No,1,August,Q3,No,Yes
ORD100123,2024-02-22 22:54,2024-02-29,2024-02-29,Indore,Central,WH_IND_01,AGT_0132,Dunzo,Books,1395.55,Prepaid,7,7,0,No,None,No,1,February,Q1,No,No
ORD100124,2024-08-11 02:58,2024-08-13,2024-08-13,Bangalore,South,WH_BLR_01,AGT_0099,XpressBees,Sports,13967.51,COD,2,5,3,Yes,None,No,1,August,Q3,No,Yes
ORD100125,2024-07-10 07:01,2024-07-13,2024-07-13,Delhi,North,WH_DEL_01,AGT_0121,DTDC,Electronics,11902.0,Prepaid,3,3,0,No,None,No,1,July,Q3,No,Yes
ORD100126,2024-03-12 22:30,2024-03-17,2024-03-16,Nagpur,Central,WH_NGP_01,AGT_0029,Ecom Express,Groceries,432.21,Prepaid,5,5,0,No,None,No,1,March,Q1,No,No
ORD100127,2024-05-27 07:19,2024-05-28,2024-06-01,Patna,East,WH_PAT_01,AGT_0037,XpressBees,Electronics,1082.69,COD,1,5,4,Yes,Route Optimization Failure,Yes,1,May,Q2,No,No
ORD100128,2024-08-07 00:39,2024-08-10,2024-08-14,Chennai,South,WH_CHN_01,AGT_0135,Delhivery,Sports,10015.91,Prepaid,3,7,4,Yes,Customer Unavailable,Yes,2,August,Q3,No,Yes
ORD100129,2024-08-28 01:40,2024-09-02,2024-09-02,Pune,West,WH_PUN_01,AGT_0027,XpressBees,Sports,11247.65,COD,5,5,0,No,None,No,1,August,Q3,No,Yes
ORD100130,2024-10-24 23:48,2024-10-27,2024-10-30,Patna,East,WH_PAT_01,AGT_0047,Dunzo,Toys,12230.61,Prepaid,3,6,3,Yes,High Order Volume,Yes,1,October,Q4,Yes,No
